OTU ID	MRC1	MRC2	MRC3	MRC4	MRC5	MRC6	MRC7	MRC_neg	SVERC1	SVERC2	SVERC3	SVERC4	SVERC5	SVERC6	SVERC7	SVERC_neg
HQ597493.1.1475	2	2	1	1	2	2	0	4	72	188	343	337	246	278	149	0
FR687442.1.1463	15	39	35	53	37	37	39	0	3	0	0	0	0	0	0	0
KC488627.1.1479	46	0	1	0	4	0	0	0	0	0	0	0	0	0	4	0
JQ660188.1.1493	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUIF01009719.1802.3305	4	6	5	5	6	5	1	0	11	16	13	19	11	13	17	0
OTU_dn_4050	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_dn_1735	3	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0
FPLS01032126.13.1530	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FPLS01009034.10.1332	35	30	43	86	89	42	20	2	37	48	85	92	75	94	40	0
HQ598613.1.1508	6	2	9	5	12	7	6	0	14	24	11	18	16	15	10	0
KR703525.1.1429	17	2	12	1	9	3	1	0	0	0	0	0	0	1	0	0
OTU_dn_438	5	3	5	4	6	4	4	0	0	0	0	0	0	0	0	0
EF018692.1.1326	42	36	54	52	62	46	35	1	19	16	20	40	21	14	17	0
OTU_dn_346	6	3	8	7	8	2	1	0	3	0	0	0	0	0	0	0
HQ119617.1.1536	40	96	51	71	21	20	30	1	69	0	0	1	0	8	2	0
AY741725.1.1482	11	4	8	8	14	13	8	0	0	1	0	0	1	0	0	0
OTU_dn_166	17	12	12	9	6	5	7	0	0	1	0	0	0	0	0	0
KC555022.1.1529	7	7	14	13	19	8	6	0	0	5	6	7	4	3	2	0
EU861850.1.1490	55	83	76	100	73	118	67	0	9	0	0	3	0	0	0	0
AM110970.1.1497	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GQ263805.1.1476	14	6	7	7	4	3	0	0	1	0	0	9	0	1	2	0
EU132416.1.1374	11	5	12	13	5	5	14	0	12	23	56	35	32	13	14	0
KM035949.1.1400	33	0	4	1	3	0	2	0	0	0	0	0	0	2	0	0
EU133967.1.1334	4	6	3	6	2	1	2	0	4	0	4	5	0	0	0	0
